timestamp,indoor_temp_c,outdoor_temp_c,hvac_kw,solar_w_m2,hvac_meter_kw,setpoint_c,hvac_command,rh_pct,q_sensible_kw,q_total_kw,data_kind,event
2026-07-15T00:00:00+08:00,25.97264,27.87868,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:01:00+08:00,26.02868,27.86944,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:02:00+08:00,26.04459,27.86025,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:03:00+08:00,26.02364,27.85109,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:04:00+08:00,25.99864,27.84198,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:05:00+08:00,26.04968,27.83291,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:06:00+08:00,26.01568,27.82388,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:07:00+08:00,26.00187,27.81489,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:08:00+08:00,26.07344,27.80594,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:09:00+08:00,26.04138,27.79703,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:10:00+08:00,26.0697,27.78817,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:11:00+08:00,26.06186,27.77935,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:12:00+08:00,26.08617,27.77057,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:13:00+08:00,26.08642,27.76183,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:14:00+08:00,26.09021,27.75313,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:15:00+08:00,26.08946,27.74448,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:16:00+08:00,26.0758,27.73587,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:17:00+08:00,26.12741,27.72731,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
2026-07-15T00:18:00+08:00,26.1441,27.71878,0.0,0,0.0,,OFF,50,0.0,0.0,SYNTHETIC_NOT_MEASURED,
