timestamp,outdoor_temp_c,solar_w_m2,q_gain_kw,pv_kw,base_load_kw,buy_price,sell_price,occupied
2026-07-15T00:00:00+08:00,27.878679656440358,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T00:15:00+08:00,27.744480577563067,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T00:30:00+08:00,27.619939979126293,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T00:45:00+08:00,27.505591163092365,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T01:00:00+08:00,27.401923788646684,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T01:15:00+08:00,27.309381775401935,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T01:30:00+08:00,27.22836140246614,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T01:45:00+08:00,27.159209611514683,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T02:00:00+08:00,27.102222521132795,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T02:15:00+08:00,27.05764415879031,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T02:30:00+08:00,27.02566541587857,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T02:45:00+08:00,27.00642323028419,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T03:00:00+08:00,27.0,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T03:15:00+08:00,27.00642323028419,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T03:30:00+08:00,27.02566541587857,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T03:45:00+08:00,27.05764415879031,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T04:00:00+08:00,27.102222521132795,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
2026-07-15T04:15:00+08:00,27.159209611514683,0.0,0.3372255109221624,0.0,1,0.3,0.2,0
