timestamp,outdoor_temp_c,q_gain_kw,pv_kw,base_load_kw,buy_price,sell_price,occupied,solar_w_m2,data_kind
2026-07-15T00:00:00+08:00,27.17157287525381,1.0,0.0,4.0,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T00:15:00+08:00,26.99264077008409,1.0,0.0,4.130806258460286,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T00:30:00+08:00,26.82658663883506,1.0,0.0,4.261052384440103,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T00:45:00+08:00,26.67412155078982,1.0,0.0,4.390180644032257,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T01:00:00+08:00,26.535898384862247,1.0,0.0,4.5176380902050415,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T01:15:00+08:00,26.412509033869245,1.0,0.0,4.642878930606323,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T01:30:00+08:00,26.304481869954852,1.0,0.0,4.765366864730179,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T01:45:00+08:00,26.21227948201958,1.0,0.0,4.884577380438002,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T02:00:00+08:00,26.136296694843725,1.0,0.0,5.0,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T02:15:00+08:00,26.07685887838708,1.0,0.0,5.111140466039204,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T02:30:00+08:00,26.03422055450476,1.0,0.0,5.217522858017441,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T02:45:00+08:00,26.008564307045585,1.0,0.0,5.318691630200138,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T03:00:00+08:00,26.0,1.0,0.0,5.414213562373095,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
2026-07-15T03:15:00+08:00,26.008564307045585,1.0,0.0,5.503679614957955,0.3,0.2,0.0,0,SYNTHETIC_NOT_MEASURED
